term,coefficient,odds_ratio,direction
categorical__Subsidy_Available_Yes,4.514983276191849,91.376,increases
categorical__Range_Anxiety_Level_Low,3.3772906237660067,29.291,increases
numeric__Environmental_Concern_Level,1.8745411816158475,6.518,increases
categorical__Range_Anxiety_Level_Medium,1.7481624758021674,5.744,increases
numeric__Annual_Income_USD,0.7260842777008054,2.067,increases
categorical__Home_Charging_Possible_Yes,0.2310937257601102,1.26,increases
categorical__Current_Car_Type_Truck,-0.09447121520157582,0.91,decreases
numeric__Daily_Commute_km,-0.08599016769027709,0.918,decreases
categorical__Gender_Other,0.06668855794505303,1.069,increases
categorical__City_Type_Suburban,-0.05309251428273698,0.948,decreases
categorical__Gender_Male,-0.028776422773271533,0.972,decreases
categorical__Current_Car_Type_SUV,0.025503624596837388,1.026,increases
categorical__Current_Car_Type_Sedan,0.02178333524690462,1.022,increases
numeric__Charging_Stations_Near_Home,0.021269772489983553,1.021,increases
numeric__Number_of_Cars_Owned,0.01895815435218407,1.019,increases
numeric__Age,-0.017781029076306732,0.982,decreases
numeric__Charging_Stations_Near_Work,-0.011381444423114583,0.989,decreases
categorical__City_Type_Urban,0.009552565841408622,1.01,increases
